min,mean,max,t+1
,,,2010
,,,1950
,,,1936
,,,1893
,,,1870
,,,1862
,,,1831
,,,1820
,,,1811
,,,1833
,,,1883
,,,1897
,,,1955
,,,1966
,,,2003.1
,,,2084
,,,2112
,,,2099
,,,2085
,,,2015
,,,1968
,,,1903
,,,1873
,,,1871
,,,1887
,,,1823
,,,1840
,,,1840.1
,,,1886
,,,1936.1
,,,1959
,,,1986
,,,2002
,,,2032
,,,2079
,,,2032.1
,,,2036
,,,2017
,,,2000
,,,1970
,,,1887.1
,,,1843
,,,1854
,,,1803
,,,1786
,,,1758
,,,1776
,,,1802
,,,1830
,,,1841
,,,1899
,,,1905
,,,1947
,,,1949
,,,1986.1
,,,1998
,,,1993
,,,1968.1
,,,1941
,,,1933
,,,1888
,,,1857
,,,1808
,,,1774
,,,1758.1
,,,1785
,,,1760
,,,1782
,,,1804
,,,1842
,,,1859
,,,1903.1
,,,1940
,,,1936.2
,,,1979
,,,1974
,,,1963
,,,1943
,,,1953
,,,1906
,,,1870.1
,,,1821
,,,1783
,,,1802.1
,,,1759
,,,1744
,,,1747
,,,1771
,,,1819
,,,1827
,,,1873.1
,,,1922
,,,1949.1
,,,1941.1
,,,1984
,,,1991
,,,1978
,,,1959.1
,,,1943.1
,,,1911
,,,1902
,,,1869
,,,1841.1
,,,1815
,,,1803.1
,,,1788
,,,1759.1
,,,1791
,,,1829
,,,1856
,,,1899.1
,,,1895
,,,1949.2
,,,1989
,,,2053
,,,2043
,,,2034
,,,1995
,,,1965
,,,1893.1
,,,1872
,,,1820.1
,,,1847
,,,1828
,,,1805
,,,1822
,,,1841.2
,,,1879
,,,1893.2
,,,1931
,,,1968.2
,,,1977
,,,2019
,,,2013
,,,2022
,,,2005
,,,2010.1
,,,1958
,,,1921
,,,1920
,,,1873.2
,,,1847.1
,,,1823.1
,,,1810
,,,1820.2
,,,1827.1
,,,1862.1
,,,1872.1
,,,1910
,,,1942
,,,1968.3
,,,1994
,,,2001
,,,2015.1
,,,2006
,,,2013.1
,,,1941.2
,,,1910.1
,,,1881
,,,1852
,,,1808.1
,,,1777
,,,1763
,,,1769
,,,1755
,,,1783.1
,,,1815.1
,,,1840.2
,,,1885
,,,1898
,,,1923
,,,1961
,,,2008
,,,2032.2
,,,2018
,,,1986.2
,,,1951
,,,1903.2
,,,1872.2
,,,1853
,,,1845
,,,1839
,,,1793
,,,1817
,,,1835
,,,1840.3
,,,1910.2
,,,1931.1
,,,1962
,,,1986.3
,,,2020
,,,2026
,,,2026.1
,,,2003.2
,,,2032.3
,,,1975
,,,1975.1
,,,1925
,,,1880
,,,1879.1
,,,1840.4
,,,1814
,,,1839.1
,,,1840.5
,,,1842.1
,,,1894
,,,1918
,,,1947.1
,,,2036.1
,,,2027
,,,2064
,,,2089
,,,2074
,,,2053.1
,,,2004
,,,1952
,,,1937
,,,1870.2
,,,1845.1
,,,1868
,,,1879.2
,,,1918.1
,,,1943.2
,,,1995.1
,,,2038
,,,2039
,,,2062
,,,2064.1
,,,2063
,,,2070
,,,2031
,,,1989.1
,,,1962.1
,,,1919
,,,1901
,,,1851
,,,1840.6
,,,1825
,,,1805.1
,,,1826
,,,1861
,,,1856.1
,,,1873.3
,,,1902.1
,,,1920.1
,,,1933.1
,,,1936.3
,,,1954
,,,1955.1
,,,1951.1
,,,1929
,,,1933.2
,,,1937.1
,,,1909
,,,1928
,,,1904
,,,1917
,,,1938
,,,1956
,,,2011
,,,2054
,,,2133
,,,2203
,,,2283
,,,2451
,,,2512
,,,2590
,,,2751
,,,2834
,,,2899
,,,3021
,,,3103
,,,3168
,,,3278
,,,3344
,,,3378
,,,3426
,,,3417
,,,3417.1
,,,3357
,,,3294
,,,3184
,,,3056
,,,2937
,,,2801
,,,2640
,,,2463
,,,2325
,,,2176
,,,2047
,,,1927
,,,1843.1
,,,1802.2
,,,1726
,,,1695
,,,1698
,,,1715
,,,1729
,,,1747.1
,,,1769.1
,,,1812
,,,1797
,,,1791.1
,,,1801
,,,1787
,,,1786.1
,,,1778
,,,1739
,,,1712
,,,1691
,,,1674
,,,1664
,,,1659
,,,1680
,,,1699
,,,1735
,,,1799
,,,1840.7
,,,1840.8
,,,1874
,,,1872.3
,,,1881.1
,,,1890
,,,1865
,,,1846
,,,1828.1
,,,1783.2
,,,1738
,,,1683
,,,1669
,,,1657
,,,1657.1
,,,1671
,,,1693
,,,1727
,,,1767
,,,1794
,,,1842.2
,,,1855
,,,1872.4
,,,1884
,,,1904.1
,,,1856.2
,,,1840.9
,,,1783.3
,,,1758.2
,,,1723
,,,1691.1
,,,1680.1
,,,1664.1
,,,1659.1
,,,1715.1
,,,1712.1
,,,1712.2
,,,1777.1
,,,1790
,,,1835.1
,,,1872.5
,,,1883.1
,,,1870.3
,,,1854.1
,,,1846.1
,,,1801.1
,,,1755.1
,,,1744.1
,,,1690
,,,1677
,,,1661
,,,1652
,,,1635
,,,1674.1
,,,1707
,,,1726.1
,,,1749
,,,1802.3
,,,1847.2
,,,1859.1
,,,1865.1
,,,1889
,,,1872.6
,,,1872.7
,,,1838
,,,1815.2
,,,1749.1
,,,1726.2
,,,1714
,,,1691.2
,,,1679
,,,1686
,,,1701
,,,1731
,,,1761
,,,1793.1
,,,1825.1
,,,1867
,,,1885.1
,,,1903.3
,,,1909.1
,,,1909.2
,,,1893.3
,,,1869.1
,,,1846.2
,,,1796
,,,1755.2
,,,1712.3
,,,1680.2
,,,1659.2
,,,1649
,,,1635.1
,,,1664.2
,,,1712.4
,,,1722
,,,1761.1
,,,1807
,,,1813
,,,1851.1
,,,1859.2
,,,1835.2
,,,1840.10
,,,1782.1
,,,1769.2
,,,1712.5
,,,1687
,,,1660
,,,1623
,,,1633
,,,1607
,,,1653
,,,1665
,,,1686.1
,,,1735.1
,,,1794.1
,,,1783.4
,,,1840.11
,,,1815.3
,,,1810.1
,,,1814.1
,,,1762
,,,1744.2
,,,1694
,,,1660.1
,,,1609
,,,1592
,,,1581
,,,1580
,,,1582
,,,1584
,,,1613
,,,1638
,,,1689
,,,1711
,,,1732
,,,1776.1
,,,1798
,,,1783.5
,,,1782.2
,,,1763.1
,,,1728
,,,1699.1
,,,1712.6
,,,1639
,,,1636
,,,1600
,,,1583
,,,1535
,,,1565
,,,1600.1
,,,1639.1
,,,1655
,,,1679.1
,,,1712.7
,,,1735.2
,,,1764
,,,1776.2
,,,1757
,,,1775
,,,1722.1
,,,1700
,,,1664.3
,,,1633.1
,,,1629
,,,1600.2
,,,1579
,,,1561
,,,1535.1
,,,1591
,,,1618
,,,1666
,,,1698.1
,,,1731.1
,,,1767.1
,,,1768
,,,1786.2
,,,1828.2
,,,1813.1
,,,1808.2
,,,1760.1
,,,1739.1
,,,1715.2
,,,1698.2
,,,1635.2
,,,1618.1
,,,1599
,,,1613.1
,,,1622
,,,1659.3
,,,1759.2
,,,1827.2
,,,1904.2
,,,1849
,,,1917.1
,,,1893.4
,,,1886.1
,,,1871.1
,,,1839.2
,,,1811.1
,,,1768.1
,,,1774.1
,,,1738.1
,,,1727.1
,,,1713
,,,1738.2
,,,1728.1
,,,1758.3
,,,1787.1
,,,1841.3
,,,1871.2
,,,1910.3
,,,1954.1
,,,1958.1
,,,1939
,,,1968.4
,,,1943.3
,,,1927.1
,,,1887.2
,,,1854.2
,,,1823.2
,,,1770
,,,1761.2
,,,1744.3
,,,1717
,,,1729.1
,,,1744.4
,,,1791.2
,,,1814.2
,,,1844
,,,1891
,,,1902.2
,,,1959.2
,,,1974.1
,,,1987
,,,1985
,,,1977.1
,,,1968.5
,,,1936.4
,,,1902.3
,,,1851.2
,,,1808.3
,,,1783.6
,,,1796.1
,,,1778.1
,,,1783.7
,,,1776.3
,,,1791.3
,,,1851.3
,,,1833.1
,,,1888.1
,,,1935
,,,1946
